2016-10-23 00:03:40.5418 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:41.8199 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:43.0970 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:44.3371 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:45.5201 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:46.6422 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:47.8553 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:49.2843 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:50.7534 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:52.0525 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:53.4556 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:54.6657 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:55.8327 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:56.9588 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:58.1169 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:59.4559 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:00.8750 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:02.1791 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:03.6382 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:04.9792 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:06.1733 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:07.3354 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:08.5704 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:09.9125 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:11.1816 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:12.4997 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:14.0368 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:15.4648 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:16.6239 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:17.8320 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:19.0911 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:20.3141 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:21.5632 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:22.9353 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:24.3954 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:25.8544 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:27.0065 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:28.2006 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:29.4346 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:30.6017 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:04:31.7978 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

